,team1,team2,winner,margin,ground,match_date
49,England,India,tied,,Lord's,"Sep 11, 2011"
50,England,India,England,6 wickets,Cardiff,"Sep 16, 2011"
51,India,England,India,126 runs,Hyderabad (Deccan),"Oct 14, 2011"
52,India,England,India,8 wickets,Delhi,"Oct 17, 2011"
53,India,England,India,5 wickets,Mohali,"Oct 20, 2011"
54,India,England,India,6 wickets,Mumbai,"Oct 23, 2011"
55,India,England,India,95 runs,Kolkata,"Oct 25, 2011"
56,India,West Indies,India,1 wicket,Cuttack,"Nov 29, 2011"
57,India,West Indies,India,5 wickets,Visakhapatnam,"Dec 2, 2011"
58,India,West Indies,West Indies,16 runs,Ahmedabad,"Dec 5, 2011"
59,India,West Indies,India,153 runs,Indore,"Dec 8, 2011"
60,India,West Indies,India,34 runs,Chennai,"Dec 11, 2011"
61,Australia,India,Australia,65 runs,Melbourne,"Feb 5, 2012"
62,India,Sri Lanka,India,4 wickets,Perth,"Feb 8, 2012"
63,Australia,India,India,4 wickets,Adelaide,"Feb 12, 2012"
64,India,Sri Lanka,tied,,Adelaide,"Feb 14, 2012"
65,Australia,India,Australia,110 runs,Brisbane,"Feb 19, 2012"
66,India,Sri Lanka,Sri Lanka,51 runs,Brisbane,"Feb 21, 2012"
67,Australia,India,Australia,87 runs,Sydney,"Feb 26, 2012"
68,India,Sri Lanka,India,7 wickets,Hobart,"Feb 28, 2012"
69,India,Sri Lanka,India,50 runs,Dhaka,"Mar 13, 2012"
70,Bangladesh,India,Bangladesh,5 wickets,Dhaka,"Mar 16, 2012"
71,India,Pakistan,India,6 wickets,Dhaka,"Mar 18, 2012"
72,Sri Lanka,India,India,21 runs,Hambantota,"Jul 21, 2012"
73,Sri Lanka,India,Sri Lanka,9 wickets,Hambantota,"Jul 24, 2012"
74,Sri Lanka,India,India,5 wickets,Colombo (RPS),"Jul 28, 2012"
75,Sri Lanka,India,India,6 wickets,Colombo (RPS),"Jul 31, 2012"
76,Sri Lanka,India,India,20 runs,Pallekele,"Aug 4, 2012"
77,India,Pakistan,Pakistan,6 wickets,Chennai,"Dec 30, 2012"
78,India,Pakistan,Pakistan,85 runs,Kolkata,"Jan 3, 2013"
79,India,Pakistan,India,10 runs,Delhi,"Jan 6, 2013"
80,India,England,England,9 runs,Rajkot,"Jan 11, 2013"
81,India,England,India,127 runs,Kochi,"Jan 15, 2013"
82,India,England,India,7 wickets,Ranchi,"Jan 19, 2013"
83,India,England,India,5 wickets,Mohali,"Jan 23, 2013"
84,India,England,England,7 wickets,Dharamsala,"Jan 27, 2013"
85,India,South Africa,India,26 runs,Cardiff,"Jun 6, 2013"
86,India,West Indies,India,8 wickets,The Oval,"Jun 11, 2013"
87,India,Pakistan,India,8 wickets,Birmingham,"Jun 15, 2013"
